city,city_ascii,lat,lng,country,population
Fukuchiyama,Fukuchiyama,35.2967,135.1264,Japan,76677
Nakatsugawa,Nakatsugawa,35.4875,137.5006,Japan,76442
Sasagawa,Sasagawa,37.2867,140.3728,Japan,75822
Tatebayashi,Tatebayashi,36.245,139.5422,Japan,74520
Yurihonjō,Yurihonjo,39.3858,140.0489,Japan,75417
Tatsunochō-tominaga,Tatsunocho-tominaga,34.8581,134.5456,Japan,74892
Shibukawa,Shibukawa,36.4833,139,Japan,74425
Kasama,Kasama,36.345,140.3042,Japan,74334
Inuyama,Inuyama,35.3833,136.95,Japan,73541
Ōtawara,Otawara,36.8667,140.0167,Japan,73508
Ishioka,Ishioka,36.1833,140.2833,Japan,73110
Katori,Katori,35.8978,140.4992,Japan,73110
Uwajima,Uwajima,33.2233,132.5606,Japan,71586
Rittō,Ritto,35.0217,135.9981,Japan,69294
Tanabe,Tanabe,33.7333,135.3833,Japan,70410
Ōdate,Odate,40.2717,140.5647,Japan,70085
Sabae,Sabae,35.9567,136.1844,Japan,68533
Sōja,Soja,34.6728,133.7467,Japan,68172
Yachimata,Yachimata,35.6658,140.3183,Japan,67522
Kashima,Kashima,35.9658,140.645,Japan,67448
Saiki,Saiki,32.9603,131.8994,Japan,67931
Hashima,Hashima,35.3167,136.7,Japan,66573
Shiojiri,Shiojiri,36.1167,137.95,Japan,66737
Ina,Ina,35.8275,137.9539,Japan,66641
Kurihara,Kurihara,38.7303,141.0214,Japan,65313
Tamana,Tamana,32.9281,130.5597,Japan,64966
Asahi,Asahi,35.7203,140.6467,Japan,64302
Tsuruga,Tsuruga,35.6372,136.0806,Japan,64474
Fujioka,Fujioka,36.2667,139.0667,Japan,63556
Shiroi,Shiroi,35.7917,140.0564,Japan,61931
Nago,Nago,26.5917,127.9775,Japan,62725
Ogōshi,Ogoshi,32.8858,130.7897,Japan,61531
Tendō,Tendo,38.3622,140.3783,Japan,62032
Aisai,Aisai,35.15,136.7333,Japan,61234
Itoman,Itoman,26.1236,127.6658,Japan,60546
Hashimoto,Hashimoto,34.3167,135.6,Japan,60885
Ōwada,Owada,40.6128,141.2058,Japan,61058
Tahara,Tahara,34.6414,137.1831,Japan,60378
Koga,Koga,33.7333,130.4667,Japan,59111
Chichibu,Chichibu,35.9917,139.0856,Japan,60303
Shimotsuke,Shimotsuke,36.3872,139.8422,Japan,59370
Jōsō,Joso,36.0236,139.9939,Japan,59647
Shirakawa,Shirakawa,37.1264,140.2108,Japan,59730
Choshi,Choshi,35.7347,140.8267,Japan,59165
Date,Date,37.8189,140.5631,Japan,59441
Kokawa,Kokawa,34.2697,135.3625,Japan,59208
Tōgane,Togane,35.56,140.3661,Japan,58686
Kosai,Kosai,34.7186,137.5317,Japan,58423
Tokoname,Tokoname,34.8833,136.8333,Japan,57814
Ishikari,Ishikari,43.1783,141.3067,Japan,58277
Tama,Tama,34.4919,133.9458,Japan,57631
Murakami,Murakami,38.2239,139.4801,Japan,58096
Kan’onjichō,Kan'onjicho,34.1283,133.6628,Japan,57333
Minokamo,Minokamo,35.4333,137.0167,Japan,56804
